Gene,MinimumKaKs,MaximumKaKs,MeanKaKs,MedianKaKs,Function,COG,FunctionalClass
rfaG,0,2.004405428,0.10183659,0,"UDP-glucose:(heptosyl) LPS alpha-1,3-glucosyltransferase",COG0297,G
gspI,0,1.96889078,0.284902761,0.280275159,type II secretion system protein I,COG4795,U
hmpA,0,1.968074205,0.126022254,0.07433917,flavohemoprotein,COG3217,R
yfhR,0,1.966346585,0.112314709,0.078099585,peptidase,COG0400,R
nadE,0.024425996,1.944951625,0.390779915,0.186163139,NH3-dependent NAD(+) synthetase,COG0171,H
yodA,0,1.938316991,0.196641565,0.13177506,metal ABC transporter substrate binding protein,COG3443,P
yieE,0,1.919510295,0.230910633,0.102456837,phosphopantetheinyl transferase,NF,NA
yjeJ,0.127350077,1.919217604,0.550556635,0.411806119,protein,NF,NA
yqeC,0,1.910689035,0.355779746,0.235523554,selenium-dependent hydroxylase accessory protein YqeC,NF,NA
mak,0.047003554,1.87148927,0.204591486,0.123801096,fructokinase,COG2222,M
group_1641,-87.03207617,1.855091549,-3.716488649,0.320445305,type III secretion system protein,NF,NA
ygbK,-3177.512215,1.851820481,-117.2123661,0.194659109,paral putative tRNA synthase,COG3395,S
yhaV,-613.5221722,1.846531324,-23.28248214,0.200122603,toxin of the SohB(PrlF)-YhaV toxin-antitoxin system,NF,NA
pqqL,-887.9720227,1.826479818,-13.40168937,0.300998353,membrane-associated peptidase,COG0113,H
dhaL,-381.9088228,1.798739219,-62.35247272,0.348254993,dihydroxyacetone kinase subunit DhaL,NF,NA
thiK,-999.5258505,1.766810706,-51.70941912,0.55694033,thiamine kinase,NF,NA
group_4497,-247.0702401,1.755575799,-43.26347469,0.772252888,hypothetical protein,NF,NA
group_1562,-269.3400362,1.755387835,-5.695197799,0.481389736,hypothetical protein,NF,NA
thiE,-198.210862,1.715460037,-6.029822463,0.142721774,thiamine-phosphate pyrophosphorylase,COG0352,H
recG,-2543.690387,1.670996434,-44.93989056,0.039926488,ATP-dependent DNA helicase RecG,COG1204,L
yecE,0,1.655772135,0.048259624,0,"conserved protein, UPF0759 family",NF,NA
mtfA_1,0,1.652339323,0.44018296,0.338802245,DgsA anti-repressor MtfA,NF,NA
fliZ,0.043405251,1.650464598,0.328863191,0.225870913,FliZ protein,NF,NA
argG,0,1.649984116,0.197506351,0.025439275,argininosuccinate synthetase,COG0137,E
arnF,-511.3137143,1.646397017,-5.429339068,0.128096705,4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,NF,NA
matA,0,1.640343678,0.265192445,0.098970593,putative fimbrial transcriptional regulator,NF,NA
epaP,1.636478146,1.636478146,1.636478146,1.636478146,type III secretion system protein,COG4790,U
yjjZ,-89.44127232,1.617448266,-0.63617314,0.286497526,protein,NF,NA
yegK,0,1.611899779,0.22342363,0.184867129,protein,NF,NA
yhiQ,0,1.60135343,0.147097835,0.023876355,methyltransferase,NF,NA
yjhS,0,1.592376064,0.549081825,0.488499276,YjhS protein,NF,NA
yhaK,0,1.58716164,0.204633999,0.126334173,pirin-related protein,NF,NA
yraN,0,1.582659368,0.400185759,0.261606669,endonuclease-like protein,NF,NA
group_2861,0.100261081,1.578794967,0.47799239,0.418655755,protein YjiS,COG5457,S
yegM,0,1.567151158,0.219659227,0.056171228,multidrug efflux system subunit MdtA,NF,NA
fliK,0,1.560171951,0.286316703,0.280018235,flagellar hook-length control protein,NF,NA
group_3317,0.091994456,1.558558321,0.437220206,0.304492208,Uncharacterized conserved protein,COG3369,S
group_1108,0,1.550890585,0.292666111,0.178387313,zinc finger SWIM domain-containing protein,NF,NA
mdtB,0,1.537502507,0.039653724,0.022060101,multidrug resistance protein,NF,NA
ybjC,0.178345194,1.533883568,0.486751576,0.410044481,inner membrane protein,NF,NA
yqeH,-682.0268845,1.533034964,-12.36835892,0,bipartite regulator domain,NF,NA
nudI,-610.1527748,1.532633865,-20.18021818,0.309410983,NUDIX-family hydrolase,COG2816,F
fiu,0,1.52900799,0.056793333,0.038107367,catecholate siderophore TonB-dependent receptor,COG4774,P
group_9500,-1864.232156,1.527129894,-286.6421395,0.098651817,ABC-type transport system,NF,NA
mhpF,0,1.527001666,0.045411428,0,acetaldehyde dehydrogenase,COG4569,Q
tibA_2,0,1.52527362,0.524163691,0.447395555,Autotransporter beta domain-containing protein,COG3468,MU
flgN,0,1.522991605,0.364279263,0.316336065,flagella synthesis protein FlgN,NF,NA
yiaJ,0,1.516037639,0.301909459,0.299394779,DNA-binding transcriptional repressor,NF,NA
efeO,0,1.51533252,0.153084374,0.071335713,inactive ferrous ion transporter periplasmic protein EfeO,NF,NA
rcnB,-465.4798597,1.509337117,-5.957556996,0,periplasmic modulator of Ni and Co efflux,COG5455,P
group_2866,0,1.507117877,0.217417079,0.190381027,"PRD domain protein,/AHA_3910 family",NF,NA
group_3281,0,1.505372789,0.497305038,0.465971454,putative lipoprotein,COG5633,S
ydjR,-318.8303918,1.504937133,-53.26395865,0.15223773,acyl-CoA dehydrogenase,COG3758,T
djlC,0,1.498436912,0.433040556,0.392217656,Hsc56 co-chaperone of HscC,NF,NA
cas3,-380.1185629,1.487512838,-21.98407527,0.22639978,CRISPR-associated helicase Cas3,COG1688,V
mipA_2,0.154750783,1.48047532,0.359143297,0.256198532,putative scaffolding protein,NF,NA
group_6643,0,1.475475057,0.176877934,0.1044175,putative lipoprotein,NF,NA
ampD,-371.4921008,1.468331522,-49.75432925,0.141840147,N-acetyl-anhydromuramyl-L-alanine-amidase,NF,NA
group_2526,0,1.466693404,0.171701672,0.097271621,cytoplasmic protein,COG3789,S
ssb_1,0,1.465277685,0.061028799,0,single-strand binding protein,NF,NA
yliI,-4684.05433,1.458964177,-91.36623549,0.391523238,aldose sugar dehydrogenase,NF,NA
ykgF,0,1.448601767,0.270767808,0.1831488,putative electron transport protein YkgF,COG0247,C
lsrF,0,1.448074695,0.275465421,0.149445186,putative aldolase,NF,NA
smtA,0,1.437419665,0.088432786,0,metallothionein SmtA,COG4106,C
uspF,-2861.088517,1.437269072,-788.5526276,-614.9674443,putative universal stress protein,NF,NA
rplY,0,1.43318029,0.897622099,1.43318029,50S ribosomal protein L25,NF,NA
group_1862,0,1.431088122,0.208119828,0.176021101,putative oxidoreductase subunit,NF,NA
fes,0,1.418080862,0.297387016,0.160129789,enterobactin/ferric enterobactin esterase,COG2819,R
rtcB_1,0,1.416266404,0.199528427,0.073993152,protein rtcB,NF,NA
air,0,1.415617438,0.244745358,0.224478586,aerotaxis receptor protein,COG2346,P
group_632,0.115071029,1.412636731,0.247307136,0.184557468,putative chaperonin,COG4248,R
ligB,0,1.412234707,0.243899048,0.180835918,NAD-dependent DNA ligase LigB,NF,NA
ynbD,0,1.410509687,0.331073241,0.143260892,Putative enzyme YnbD,NF,NA
mobB,-602.5110989,1.405691706,-11.74314957,0.090925028,molybdopterin-guanine dinucleotide biosynthesis protein B,COG1763,H
ymdA,0,1.401274442,0.538199603,0.501263501,protein,NF,NA
group_431,-323.5584918,1.393112355,-27.25584727,0.171584554,molybdate metabolism regulator MolR-like protein,NF,NA
group_2126,-1297.721541,1.384885914,-582.2792908,-128.2666935,hypothetical protein,NF,NA
pmrD,-1129.429721,1.384261338,-73.43949716,0.203766011,polymyxin B resistance protein PmrD,NF,NA
manX_1,0,1.37407433,0.03720723,0,mannose-specific PTS system EIIAB component,COG3444,G
yedP,0,1.369300936,0.175399892,0.14723681,mannosyl-3-phosphoglycerate phosphatase,COG3769,G
flgM,0,1.3660777,0.229211035,0.182541329,negative regulator of flagellin synthesis (anti-sigma factor),NF,NA
astA,0,1.360698183,0.166201868,0.051082127,arginine N-succinyltransferase,COG3724,E
yfdY,0,1.358756165,0.220954451,0.127747085,inner membrane protein,NF,NA
dmsB_1,0,1.356591889,0.464223124,0.465751018,putative oxidoreductase Fe-S subunit,NF,NA
group_4535,-353.2533148,1.355661643,-6.112348974,0.341946798,Fels-1 Propage domain-containing protein,NF,NA
group_9417,0.058176914,1.349936962,0.386037668,0.310757146,DeoR-family transcriptional regulator,COG3444,G
group_1880,-580.0045328,1.335201215,-103.3512797,0.305942398,putative transcriptional regulator,NF,NA
group_3426,0,1.333701975,0.226978669,0.206387115,putative small protein,COG5475,S
mlrA_2,0,1.330771364,0.222116364,0.137648762,MerR family transcriptional regulator,NF,NA
smf,0,1.330528712,0.286413592,0.199884428,DNA protecting protein DprA,NF,NA
ydeI,-225.5119351,1.323661497,-81.22746109,0.041264825,stress response protein,COG3111,S
yciX,-239.1102134,1.30789139,-10.01996368,0.388018835,"protein, C-ter fragment, truncated protein",NF,NA
hycH,0,1.29974847,0.111626449,0.094887163,formate hydrogenlyase maturation protein,NF,NA
ycgC,0,1.297719161,0.352271677,0.280704474,dihydroxyacetone kinase subunit M,COG3412,T
mutT,0,1.277830461,0.325246328,0.247006449,"7,8-dihydro-8-oxoguanine-triphosphatase",COG2816,F
merA,-156.677939,1.260670957,-1.363404507,0.127499455,putative pyridine nucleotide-disulfide oxidoreductase,COG2210,C
ybhM,0,1.253904853,0.381392883,0.319996895,inner membrane protein,NF,NA
dhaK,0.07603351,1.248850825,0.355858938,0.190375542,"PTS-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit",COG2390,K
yciF,-174.1227071,1.242119457,-2.273583861,0.014004512,YciF protein,NF,NA
ycjI,0,1.235660391,0.148404421,0.157193471,putative carboxypeptidase,NF,NA
hofO,0.103795229,1.213530926,0.589845511,0.432973495,protein involved in utilization of DNA as a carbon source,NF,NA
lhr,-2010.080923,1.211738626,-26.43350639,0.219839568,ATP-dependent helicase,COG1201,L
pyrF,-202.5193555,1.205947554,-13.69086464,0.113234819,orotidine 5'-phosphate decarboxylase,COG0284,F
yifN,0,1.202245107,0.412326184,0.159545561,yifN,COG3692,S
sicA,-931.8733044,1.200559557,-15.46976192,0.530207293,type III secretion-associated chaperone,NF,NA
nfsA,-494.0014064,1.191684227,-8.189200831,0.376929943,nitroreductase NfsA,NF,NA
ybl138,0,1.18466493,0.232815138,0.141523911,ybl138,NF,NA
group_3887,-1847.142627,1.184423404,-35.79867796,0.4625576,transcriptional regulator,NF,NA
gntX,-856.65787,1.17787543,-18.22775814,0.240091234,gluconate periplasmic binding protein,NF,NA
pspB,0,1.169482728,0.128054632,0,phage shock protein B,NF,NA
marB,-101.4129932,1.165210804,-11.92788055,0.4303328,multiple antibiotic resistance protein,NF,NA
dmlR_5,0,1.152203388,0.153289282,0.108259329,LysR family transcriptional regulator,COG3683,R
ydeH_2,-241.8963608,1.149357389,-5.122699001,0.088925469,putative signal transduction protein,COG3706,TK
ybiF,-1002.650431,1.146852794,-14.55964945,0.063664388,threonine and homoserine efflux system,COG5006,E
thiQ,0,1.144485658,0.142857352,0.089486007,thiamine transporter ATP-binding subunit,COG3840,H
yhdE,0,1.143170388,0.253949739,0.179023536,Maf-like protein,COG0424,Q
gstB,0,1.141413635,0.481532686,0.337647025,putative glutathione S-transferase,NF,NA
rstA,0,1.141075436,0.311048885,0.249463989,DNA-binding transcriptional regulator RstA,COG4565,KT
yobD,0,1.140186194,0.120751431,0,inner membrane protein,COG4811,S
ygaH,0,1.134336127,0.36936623,0.281545372,putative inner membrane protein,NF,NA
flhC,-971.049898,1.131066038,-28.38646565,0,flagellar transcriptional activator,NF,NA
creB,0,1.122688762,0.169260294,0.078490757,two-component response regulator,COG3437,T
mdtC,0,1.121694058,0.050340104,0.026324634,multidrug resistance protein,NF,NA
yegS,0,1.121066402,0.099416053,0.098650078,lipid kinase,NF,NA
kdpC,0,1.118146073,0.353741419,0.289926464,potassium-transporting ATPase subunit C,NF,NA
yrfD,0,1.117949179,0.286317106,0.266876485,pilus assembly protein,NF,NA
yehK,0.153206226,1.117763471,0.651302458,0.553840798,protein,NF,NA
rhaR,0,1.115179472,0.16855714,0.072734697,transcriptional activator RhaR,COG2169,L
rfaC,0,1.11143091,0.283809434,0.25407259,lipopolysaccharide heptosyltransferase 1,NF,NA
fruB,0,1.109118854,0.065427036,0,multiphosphoryl transfer protein [includes: phosphocarrier protein Hpr; fructose-specific PTS system EIIA component],COG3412,T
thiH,0.025143216,1.109040113,0.132789036,0.07415662,thiamine biosynthesis protein,COG0352,H
lutC,0,1.106222677,0.140971771,0.091328011,transporter,COG1556,C
ycjY,0,1.106200511,0.422035783,0.443445169,hydrolase,COG4925,S
ispE,0,1.106117765,0.319044615,0.185546404,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,NF,NA
sbcD,0,1.101759859,0.085484868,0.025031912,exonuclease SbcD,COG2908,M
rseC,0,1.101528215,0.215989108,0.080468353,sigma-E factor regulatory protein,COG3086,T
group_5714,0,1.10076636,0.27424292,0.168017398,putative lipoprotein,NF,NA
hofP,-1106.657484,1.100065383,-21.36117653,0.283811533,protein involved in utilization of DNA as a carbon source,NF,NA
nrfD,-283.4654899,1.097963079,-5.100710415,0.087961428,cytochrome c-type biogenesis protein,COG3301,P
preT,0.051699872,1.097509775,0.263693409,0.266893874,putative oxidoreductase,COG1232,H
pspC,0,1.096621393,0.087114764,0,phage shock protein C,NF,NA
ygbM,0,1.094295751,0.544322151,0.426440754,hydroxypyruvate isomerase,COG3622,G
yhjJ,0.013940286,1.09413388,0.094412738,0.053556961,putative protease,NF,NA
usg,0,1.093355173,0.145462118,0.020072481,putative semialdehyde dehydrogenase,COG0136,E
cynS,0,1.091550103,0.062345652,0,cyanate hydratase,COG1513,P
nagA,0,1.088294609,0.112794763,0.024993426,N-acetylglucosamine-6-phosphate deacetylase,COG3454,P
menH,0,1.087920125,0.268718961,0.18331064,acyl-CoA thioester hydrolase,NF,NA
erfK,0,1.08734039,0.220078384,0.12268162,ErfK/YbiS/YcfS/YnhG family protein,NF,NA
srlA,0,1.085428611,0.109840291,0,glucitol/sorbitol-specific PTS system EIIC component,NF,NA
srlD,0,1.085076814,0.066981453,0.037118593,sorbitol-6-phosphate 2-dehydrogenase (glucitol-6-phosphate dehydrogenase),COG3347,G
group_4233,-630.5082361,1.084381113,-10.48226782,0.270120181,putative oxidoreductase subunit,NF,NA
gltC_1,0,1.082191205,0.072055819,0.03381769,LysR family transcriptional regulator,NF,NA
yggU,0,1.081908473,0.124382836,0,"conserved protein, UPF0235 family",COG1872,S
malM,0,1.081729288,0.07913329,0,maltose regulon periplasmic protein,NF,NA
yfeZ,0,1.080330916,0.135432324,0.128109814,inner membrane protein,NF,NA
amiD,0,1.080310127,0.295926368,0.111129212,putative N-acetylmuramoyl-L-alanine amidase,NF,NA
yobA,0.080667474,1.078117468,0.304654062,0.213112791,putative copper resistance protein,NF,NA
gabT,0,1.077124766,0.059723286,0.040094182,4-aminobutyrate aminotransferase,COG0160,E
mhpB,0,1.07259364,0.122909121,0.074849902,"2,3-dihydroxyphenylpropionate/2, 3-dihydroxicinnamic acid 1,2- dioxygenase",COG3885,Q
agaA,-1808.953924,1.071276558,-20.5143318,0.109215665,N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase),COG3454,P
emrK,0,1.069420159,0.179041661,0.069815608,"EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component",NF,NA
ymcB_1,0,1.066626517,0.126346329,0,"group 4 capsule (G4C) polysaccharide, YmcB",NF,NA
group_1511,0,1.066409433,0.211073842,0.176099838,putative transferase,NF,NA
mdtF,0,1.063926788,0.09420219,0.029598851,multidrug resistance protein,NF,NA
ccmB,0,1.06222553,0.022066966,0,heme exporter protein B,NF,NA
group_28,0,1.061694623,0.165510995,0,putative sugar isomerase,NF,NA
asr,-8736.594799,1.059817058,-308.0344032,0.259757809,acid shock protein,NF,NA
araE,0,1.059150554,0.020479864,0,arabinose-proton symporter,COG5094,NA
gatB,-371.3883283,1.056406886,-15.48475638,0.449707191,galactitol-specific PTS system EIIB component,COG3414,G
rbsA_2,0,1.055826457,0.087773536,0.044195808,high affinity ribose transport ATP-binding protein RbsA,COG5618,S
yccV,0,1.054842197,0.418611412,0.52495194,DNA-binding protein,NF,NA
flu_2,0,1.054176997,0.179088825,0.15234449,Fluffing protein,NF,NA
nrfC,0,1.053714916,0.210827245,0.025081969,cytochrome c-type biogenesis protein,COG2768,S
hcrA_1,0,1.053295475,0.044180777,0.021350589,selenate reductase subunit YgfN,COG2080,C
sgbU,0,1.052014378,0.167538874,0.168105516,L-xylulose 5-phosphate 3-epimerase,COG3622,G
ydjX,0,1.051888031,0.157626885,0.144663313,inner membrane protein,NF,NA
tar,0,1.051628057,0.043030931,0.026056197,methyl-accepting chemotaxis protein II,COG5278,T
sbmA,0,1.050358431,0.069379036,0.053138262,putative microcin B17 uptake protein,NF,NA
yabB,0,1.047766435,0.179561361,0,cell division protein MraZ,NF,NA
ompN,0,1.046671329,0.106011894,0.036937605,outer membrane protein N (porin),COG3203,M
ldcC,0,1.044785672,0.129902978,0.038931573,"lysine decarboxylase, constitutive",NF,NA
yhdT,0,1.044739976,0.209747117,0.129828955,inner membrane protein,COG3924,S
rutC,0,1.044668587,0.248149234,0.168262329,pyrimidine utilization protein C,NF,NA
fimA_2,0,1.044482621,0.38056421,0.290179511,"P pilus assembly protein, pilin FimA",COG3539,N
tap,0,1.043707191,0.291618789,0.103308361,methyl-accepting chemotaxis protein IV,COG5278,T
pabA,0,1.043450792,0.135028373,0.128018957,para-aminobenzoate synthase glutamine amidotransferase component I,COG0135,E
gatD,0,1.042146794,0.331964993,0.389702125,galactitol-1-phosphate 5-dehydrogenase,NF,NA
group_6262,-294.4466824,1.042010213,-9.397541313,0.098763302,hypothetical protein,NF,NA
yrbG,0,1.041512114,0.179615729,0.09578578,calcium/sodium:proton antiporter,COG0387,P
hrpB,-1687.632435,1.040018329,-163.6467817,0.154006345,ATP-dependent helicase HrpB,COG4098,L
thiP,0.038804008,1.037583404,0.166076478,0.074127057,"thiamine ABC transport system, permease protein",COG4132,R
group_4648,0,1.034554343,0.197183466,0.130099794,type-1 fimbrial protein FimI,COG3539,N
group_5967,0,1.033685412,0.394867892,0.195199608,hypothetical protein,NF,NA
rffM,0,1.032872945,0.083078714,0.028145127,UDP-N-acetyl-D-mannosaminuronic acid transferase,NF,NA
proV_1,0,1.032175005,0.135085365,0.111312725,ABC transporter ATP-binding protein,COG4175,E
yedR,-340.3675514,1.030301181,-6.041195518,0,inner membrane protein YedR,NF,NA
mdtD,0,1.030162779,0.11037814,0.083492335,putative multidrug resistance protein,COG2814,G
group_3417,0,1.029150728,0.331257541,0.256645969,hypothetical protein,NF,NA
yjbF,0,1.027369766,0.172976229,0.091775068,lipoprotein yjbF,NF,NA
ynjD,0,1.024211849,0.159908979,0.131564402,ABC transporter ATP-binding protein,COG3842,E
ymgF,0,1.022441691,0.377238418,0.293669379,inner membrane protein that interacts with cell division proteins,NF,NA
fimC_1,0,1.021273298,0.486726841,0.38994185,pili assembly chaperone,NF,NA
gatY_1,0,1.020600976,0.219387757,0.249822879,tagatose-bisphosphate aldolase,COG0191,G
thiF,0,1.019815249,0.306083719,0.125817331,thiazole biosynthesis protein ThiF,NF,NA
mutM,-280.6697692,1.018273186,-20.62937455,0.099386597,formamidopyrimidine-DNA glycosylase,NF,NA
treC,-491.0749865,1.012250066,-13.25885714,0.220704204,trehalose-6-phosphate hydrolase,COG3280,G
rrmA,-2486.715023,1.011691691,-54.79328558,0.444770034,ribosomal RNA large subunit methyltransferase A,COG4106,C
appA_2,0,1.008855997,0.21761071,0.175718237,periplasmic AppA protein [includes: phosphoanhydrid phosphohydrolase and 4-phytase],NF,NA
focC,0,1.00881531,0.143101268,0.100976009,fimbrial chaperone,NF,NA
lacI,0,1.007894535,0.109469242,0.082266424,lactose operon repressor,COG1879,G
prpC,0,1.007476406,0.142412298,0.102626955,2-methylcitrate synthase,NF,NA
yiiS,0,1.007157974,0.103861744,0,"conserved protein, UPF0381 family",NF,NA
glpT,0,1.006358681,0.094262908,0.032066729,glycerol-3-phosphate transporter,COG2814,G
fliI,0,1.006178462,0.072020976,0.035734058,flagellum-specific ATP synthase,COG0055,C
sdhC,0,1.005249967,0.448766253,0.500619441,succinate dehydrogenase cytochrome b556 large membrane subunit,COG2009,C
mliC,0,1.00514079,0.213892399,0.178618069,putative lipoprotein,NF,NA
ynfD,0,1.003177713,0.201662572,0.128810419,protein,NF,NA
ushA,0,1.002956054,0.116777558,0.054872035,protein UshA precursor [includes: UDP-sugar hydrolase; 5'-nucleotidase],COG4085,A
sirB2,-1068.509435,1.002404327,-43.67640223,0.168757971,transcriptional regulator,NF,NA
dinG_2,-3530.174749,1.002382261,-148.5636236,0.026061192,ATP-dependent DNA helicase DinG,NF,NA
cueO,0.023818982,1.000911552,0.156863945,0.081570538,multicopper oxidase,NF,NA
flr,1,1,1,1,flavin reductase-like protein,NF,NA
rtcR,1,1,1,1,transcriptional regulator,COG4650,KT
ygjK,1,1,1,1,glycosyl hydrolase,NF,NA
group_1509,1,1,1,1,metabolite transport protein YdfJ,COG2814,G
trg,1,1,1,1,methyl-accepting chemotaxis protein III (ribose an galactose chemoreceptor protein),COG5278,T
yneK,1,1,1,1,protein,NF,NA
inlJ,1,1,1,1,glycoprotein with ribonuclease inhibitor domain (yddK) (modular protein),NF,NA
group_1203,1,1,1,1,Protein of unknown function (DUF3300),COG5333,NA
aarA,1,1,1,1,outer membrane protein,COG4257,V
group_2619,1,1,1,1,putative fimbrial protein,COG3539,N
yjiR,1,1,1,1,fused DNA-binding transcriptional regulator ; aminotransferase,COG3977,E
ygeQ,1,1,1,1,protein,NF,NA
hyfD,1,1,1,1,hydrogenase-4 component D,COG2111,P
hyfB,1,1,1,1,hydrogenase-4 component B,COG2111,P
rbsD,-86.96008359,0.999973448,-3.763685263,0.164374974,D-ribose high-affinity transporter,COG1869,G
group_6937,0.99966683,0.99966683,0.99966683,0.99966683,cytoplasmic protein,NF,NA
ycgN,0,0.998528963,0.100023062,0,putative cytoplasmic protein YcgN,COG2983,S
dcuS,-588.2826084,0.998148992,-17.36534488,0.038952792,two-component sensor kinase,COG5000,T
citX,-779.9468933,0.997954375,-23.91448465,0.194733969,apo-citrate lyase phosphoribosyl-dephospho-CoA transferase,COG3697,HI
malQ,0,0.997162901,0.179287102,0.055690181,4-alpha-glucanotransferase,NF,NA
yhdU,-57.49618255,0.996120899,-8.496965352,0,membrane protein,NF,NA
tatD,0,0.995101653,0.198253314,0.14051758,putative deoxyribonuclease,COG0084,N
bioF_2,0.104660828,0.994963838,0.161575351,0.142223895,8-amino-7-oxononanoate synthase,COG0156,H
fadB,0.029047917,0.990878942,0.195748705,0.098253092,multifunctional fatty acid oxidation complex subunit alpha,COG1545,R
yfbT,0,0.990591068,0.177366316,0.143499024,putative phosphatase/phosphohexomutase,NF,NA
fixB,-1022.612443,0.990579699,-10.45666965,0.128688505,electron transfer flavoprotein subunit of oxidoreductase,COG1773,C
ydcU,-1185.013933,0.989545504,-29.90577881,0.028102495,ABC transporter permease,COG4149,P
group_6120,0,0.989028852,0.3515419,0.377150121,putative DNA uptake protein,NF,NA
yjbQ,-973.3332572,0.987971868,-124.6697504,0.1727324,thiamin phosphate synthase,COG0432,H
rffE,0,0.98641897,0.066490114,0.040494976,UDP-N-acetylglucosamine 2-epimerase,COG0381,M
dnaA,0,0.983858392,0.024024896,0,chromosomal replication initiation protein,COG1484,L
group_1745,0,0.981664012,0.27294144,0.237649299,putative competence-related protein,NF,NA
yfaY,-1490.450145,0.981439124,-144.5718539,0.097884444,putative molybdopterin-binding protein,COG1546,H
glpB,0,0.981168418,0.085243362,0.063553269,anaerobic glycerol-3-phosphate dehydrogenase subunit B,COG3075,E
mnmC,0,0.980675627,0.289947322,0.160591698,tRNA U-34 5-methylaminomethyl-2-thiouridine biosynthesis protein MnmC,COG4121,J
group_23769,0,0.978394782,0.047482007,0.035900057,putative kinase,COG3001,G
moeB,0.028540749,0.978385482,0.114941011,0.056175992,molybdopterin biosynthesis protein,NF,NA
ynbA,0.106297542,0.977253467,0.220597243,0.168177854,phosphatidylglycerophosphate synthase,NF,NA
mcbA,0,0.97704998,0.163424324,0,protein involved in colanic acid production,NF,NA
ybiR,-1508.478021,0.976343518,-258.711011,0.085783455,transporter,COG2610,GR
eutP,0,0.975261575,0.176959033,0.118915092,ethanolamine utilization protein,COG0378,O
phnP,-917.2185074,0.975251474,-38.3766022,0.17938588,carbon-phosphorus lyase complex accessory protein (metallo-beta-lactamase superfamily protein),NF,NA
rlmL,0,0.975169731,0.130178279,0.06835996,putative RNA methylase,COG4123,J
group_4770,-381.8352083,0.973558343,-23.85113552,0.551710652,hypothetical protein,NF,NA
hypF,0.056091742,0.971692584,0.152570318,0.132531585,hydrogenase maturation protein hypF,COG0068,O
yihF,0,0.971377339,0.191828781,0.20049934,GTP-binding protein,NF,NA
yeiW,0,0.97026704,0.277735552,0.162368757,"UPF0153 cysteine cluster protein, function unknown",NF,NA
group_5519,0,0.966554443,0.136000411,0,entericidin A,COG5510,S
uxuR,0,0.966277148,0.054771074,0.044046275,uxu operon transcriptional regulator,COG1802,K
group_5767,-1229.747395,0.964576335,-12.82121226,0.061568999,putative peptidase,COG0826,O
puuC,0,0.964413551,0.106601024,0.072143923,gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase,COG4230,E
ycfS,0,0.964327196,0.041184136,0.018400551,putative peptidoglycan-binding protein,NF,NA
yjeS,-974.3380338,0.963903659,-10.20696505,0.015773665,electron transport protein YjeS,COG0350,L
yqjC,-334.0835704,0.96378707,-72.59274069,0.19937277,protein YqjC precursor,NF,NA
yfcF,0,0.963668837,0.225917912,0.106545235,putative glutathione S-transferase,NF,NA
creD,0,0.963569218,0.175821097,0.145140176,inner membrane protein,NF,NA
purT,0,0.959010963,0.146247981,0.084955045,phosphoribosylglycinamide formyltransferase 2,COG0027,F
